Theme 2 — Ease and Difficulty of Use,,,
Subtheme,Case,Quote,DeepL Translation
2.1 Initial Learning Curve,CS3,"Se você comparar esse Canvas com outro Canva qualquer que não tem uma base formal por trás do panos, a curva de aprendizado inicial é um pouco mais íngreme. ","If you compare this Canvas with any other Canva that does not have a formal basis behind it, the initial learning curve is a little steeper. "
,CS3,"Eu acredito que se eu tivesse interagido com uma visão [sessão] do Canvas de cada vez, teria sido mais fácil. ","I believe that if I had interacted with one Canvas view [session] at a time, it would have been easier. "
,CS4,But in many cases I felt like we were looking at different sides of the same coin and it was not very clear where the division was between those sides. So that made things a bit more complicated for me. I found it counterintuitive.,
,CS4,Maybe the distinction between those kind of similar things is not as clear as I thought.,
,CS5,We we had a bit of a problem getting started like if what is the context then what are our stakeholders?,
2.2 Process Difficulties,CS3,"A minha maior dificuldade aqui foi saber como escrever cada uma dessas notas. Eu acho que existe uma forma, é meio implícito nos guias e tudo mais que você deveria escrever as coisas de uma certa maneira para conseguir fazer a distanciação daquela categoria.","My biggest challenge here was figuring out how to write each of these notes. I think there's a way, it's kind of implied in the guides and everything else, that you should write things a certain way to be able to distance yourself from that category."
,CS3,"Em um primeiro momento sim, foi difícil saber onde colocar os post-its. ","At first, yes, it was difficult to know where to put the post-it notes. "
,CS3,"Então se eu começasse talvez com post-its brancos, com um stakeholder só por modelo e fosse nesse nível. Depois eu estaria mais confortável para poder dar um passo à frente e escolher como, na minha cultura do meu time, eu quero representar outras dimensões que não são codificadas. ","So, I would start with white post-it notes, with just one stakeholder as a model, and stay at that level. Then I would feel more comfortable taking a step forward and choosing how, in my team's culture, I want to represent other dimensions that are not codified. "
,CS3,Algumas incertezas por conta da similaridade de alguns conceitos.,Some uncertainties due to the similarity of certain concepts.
,CS3,"Os conceitos parecem tão próximos as vezes, que fica difícil de diferenciar. ",The concepts seem so similar at times that it is difficult to differentiate between them. 
,CS4,"And at that point, I felt like I'd kind of hit a point where I was maybe not getting enough out of it for the energy I was putting in.",
2.3 Perceived Simplicity,CS2,Eu achei que ele era fácil de usar. ,I found it easy to use. 
,CS3,"Mais uma vez que a aprendizagem seja estabelecida, é muito fácil identificar [as categorias]. ","Once again, once learning has been established, it is very easy to identify [the categories]. "
,CS5,Once we got to going it was quite easy,
2.4 Suitability for Group Use,CS2,"Eu tive algumas reuniões, então eu sei o que é que eles pensam assim, conseguindo inserir isso aqui, mas eu acho que o ideal seria ter uma reunião. Com todos os stakeholders envolvidos para de fato definir, no mínimo, quais são os pontos que cada estratégia afeta. É, acho que idealmente ele deve ser usado em grupo, foi até uma coisa que eu acho que você comentou.","I've had a few meetings, so I know what they think about this, managing to insert it here, but I think the ideal would be to have a meeting. With all stakeholders involved to actually define, at a minimum, what points each strategy affects. Yes, I think ideally it should be used in a group, which is something I think you mentioned."
,CS4,"And I would also recommend that it's filled in by at least two people who are are or will be involved in the project, because then you can get that dialogue rolling and. People can maybe debates decisions if they have opposite perspectives and I think that's.",
